Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-score
Optimized SVM (RBF),0.976,0.984,0.9879032258064516,0.98,0.9839357429718876
Based SVM (RBF),0.979,0.98,0.98,0.98,0.98
Optimized SVM (Poly),0.973,0.976,0.976,0.976,0.976
Optimized AdaBoost + DT,1.0,0.96,0.9752066115702479,0.944,0.959349593495935
Optimized Decision Tree,0.983,0.936,0.9698275862068966,0.9,0.9336099585062241
Based Decision Tree,0.902,0.876,0.8790322580645161,0.872,0.8755020080321285
Optimized SVM (Sigmoid),0.811,0.822,0.8232931726907631,0.82,0.8216432865731463
Based SVM (Poly),0.819,0.816,0.8264462809917356,0.8,0.8130081300813008
Based AdaBoost + DT,0.717,0.704,0.6363636363636364,0.952,0.7628205128205128
Based SVM (Linear),0.669,0.666,0.6640316205533597,0.672,0.6679920477137177
Based SVM (Sigmoid),0.507,0.504,0.50390625,0.516,0.5098814229249012
